Artist Name,Artist Location,Price
Kanika Beauty Studio,"Amar Colony, Delhi Ncr","15,000"
Make Up By Aanyaa,"Amar Colony, Delhi Ncr","20,000"
Noopur Gupta Makeup,"Amar Colony, Delhi Ncr","10,000"
Maquillage by Megha,"Amar Colony, Delhi Ncr","15,000"
Glamified By KM,"Amar Colony, Delhi Ncr","10,000"
Ishita Sharmamua Makeup Artist,"Amar Colony, Delhi Ncr","3,000"
Mamta Makeup Artist,"Amar Colony, Delhi Ncr","11,000"
Pooja Singh Makeover,"Amar Colony, Delhi Ncr","15,000"
Muskan Gulabani Makeovers,"Amar Colony, Delhi Ncr","5,000"
Supriya Salon Academy,"Amar Colony, Delhi Ncr","10,000"
Alisha Makeovers,"Amar Colony, Delhi Ncr","20,500"
Makeup by Palak Kaur,"Amar Colony, Delhi Ncr","15,000"
Ashok Makeup Artist Offical,"Amar Colony, Delhi Ncr","25,000"
Neha Make up Artist,"Amar Colony, Delhi Ncr","15,000"
Makeup Artist Reeta Limbu,"Amar Colony, Delhi Ncr","12,000"
Himanshu Makeup Artist,"Amar Colony, Delhi Ncr","10,000"
Glamour Visage By Kirti,"Amar Colony, Delhi Ncr","8,000"
Ahp Makeovers,"Amar Colony, Delhi Ncr","15,000"
Neetu Makeover,"Amar Colony, Delhi Ncr","10,000"
Dhruvi Makeover,"Amar Colony, Delhi Ncr","15,000"
Shivani Rana Makeovers,"Amar Colony, Delhi Ncr","25,000"
Pretty Kanak Makeover,"Amar Colony, Delhi Ncr","15,000"
Nitu Makeover,"Amar Colony, Delhi Ncr","13,000"
Glamour by Maanya,"Amar Colony, Delhi Ncr","10,000"
