Artist Name,Artist Location,Price
Gayathri Makeovers,"Amberpet, Hyderabad","5,000"
Akruti Makeovers,"Amberpet, Hyderabad","15,000"
Lucky Makeover Studio,"Amberpet, Hyderabad","12,000"
Vineela Makeup Artist,"Amberpet, Hyderabad","20,000"
Glitterz Makeup Studio,"Amberpet, Hyderabad","15,000"
Vijaya Laxmi Makeup Artist,"Amberpet, Hyderabad","10,000"
Gliterz Makeup Studio,"Amberpet, Hyderabad","25,000"
Sony Makeup Artistry,"Amberpet, Hyderabad","10,000"
Vani Makeovers,"Amberpet, Hyderabad","10,000"
Makeup By Himabindu,"Amberpet, Hyderabad","15,000"
Bridal Makeup Artist,"Amberpet, Hyderabad","25,000"
Nagamani Professional Makeup Artisty,"Amberpet, Hyderabad","15,000"
Makeover By Rajamallika,"Amberpet, Hyderabad","5,000"
