Artist Name,Artist Location,Price
Glam and Glow,"Andheri West, Mumbai","7,500"
Pari's Pride Makeup And Hair Artistry,"Andheri West, Mumbai","30,000"
Shyy Makeup,"Andheri West, Mumbai","12,000"
Makeup by Shreya Jain,"Andheri West, Mumbai","8,500"
Muadee By Dhrishti Harchandani,"Andheri West, Mumbai","15,000"
Makeup Artist Shikha,"Andheri West, Mumbai","5,000"
Sunil Navle Makeup Artist,"Andheri West, Mumbai","10,000"
Allure,"Andheri West, Mumbai","7,000"
Makeup Artist Gulbano,"Andheri West, Mumbai","8,000"
The GG Styles,"Andheri West, Mumbai","16,000"
Makeover by Dipika Mhatre,"Andheri West, Mumbai","15,000"
Makeup and Hair by SK,"Andheri West, Mumbai","13,000"
Makeup By Harini,"Andheri West, Mumbai","15,000"
Artist Aleena,"Andheri West, Mumbai","10,000"
Umaira Beauty Parlour,"Andheri West, Mumbai","4,000"
Sheetal KC Makeup Artist,"Andheri West, Mumbai","15,000"
Pinkblush,"Andheri West, Mumbai","22,000"
Lavish Beauties,"Andheri West, Mumbai","15,000"
Makeup and Hair Artist,"Andheri West, Mumbai","15,000"
Makeover By Farheen,"Andheri West, Mumbai","20,000"
Mua_sofie,"Andheri West, Mumbai","15,000"
Sharon Professional Makeup Artist Hair stylist,"Andheri West, Mumbai","15,000"
Uzma Chowdhary Makeovers,"Andheri West, Mumbai","8,000"
Weddings By @diti,"Andheri West, Mumbai","20,000"
