Artist Name,Artist Location,Price
Makeover by Swathi,"Banashankari, Bangalore","8,000"
Myrra Jain Artistry makeup up artist N hair stylist,"Banashankari, Bangalore","5,500"
Makeovers By Sudhanatesh,"Banashankari, Bangalore","10,000"
Makeup by Chaitanya Nagaraj,"Banashankari, Bangalore","18,000"
Sri Bridal Creators,"Banashankari, Bangalore","7,000"
Makeup by Mrudula,"Banashankari, Bangalore","12,000"
Shine and Shadow Makeup Studio,"Banashankari, Bangalore","15,000"
Makeovers by Roopa,"Banashankari, Bangalore","10,000"
Ladybird Makeup Artist,"Banashankari, Bangalore","7,000"
She World,"Banashankari, Bangalore","15,000"
Blue Eyes,"Banashankari, Bangalore","8,000"
Makeovers by Padmashree,"Banashankari, Bangalore","8,000"
Royal Bride,"Banashankari, Bangalore","5,500"
Aura Bridles,"Banashankari, Bangalore","3,000"
Makeup Studio by Ramya,"Banashankari, Bangalore","15,000"
Divine 4 Makeovers,"Banashankari, Bangalore","10,000"
Sowmya Makeup Artist,"Banashankari, Bangalore","5,000"
Makeover by Kavya Rajshekhar,"Banashankari, Bangalore","5,000"
Bharathi Makeover,"Banashankari, Bangalore","12,000"
Glamax Studios,"Banashankari, Bangalore","4,000"
