Artist Name,Artist Location,Price
Zara Shah Beauty,"Bannerghatta, Bangalore","13,000"
Sheen Makeup Fashion,"Bannerghatta, Bangalore","12,000"
Ankita Talukdar Makeup Artist,"Bannerghatta, Bangalore","15,000"
NK Makeoverz,"Bannerghatta, Bangalore","15,000"
Aysha Nadim Makeup Mistress,"Bannerghatta, Bangalore","15,000"
Carolia Makeovers,"Bannerghatta, Bangalore","10,000"
Poorna Alankar Makeup Artistry,"Bannerghatta, Bangalore","3,000"
Sahana Bridal Makeovers,"Bannerghatta, Bangalore","2,000"
Madhumitas Makeovers,"Bannerghatta, Bangalore","12,000"
Ujwalagowda Artistry,"Bannerghatta, Bangalore","4,000"
Pushpa Makeup Artist,"Bannerghatta, Bangalore","15,000"
Makeover by Faiza Shariff,"Bannerghatta, Bangalore","6,000"
Radiantlush,"Bannerghatta, Bangalore","10,000"
Angel Beauty Makeup Artist,"Bannerghatta, Bangalore","5,000"
