Artist Name,Artist Location,Price
Sakshi Makeup Artistry,"Belsar, Pune","10,000"
Makeup Artist Shivani Sonawane,"Belsar, Pune","6,000"
Pooja Thosar Makeover,"Belsar, Pune","5,000"
Annu Makeup Artist,"Belsar, Pune","5,000"
Sonali Jadhav Makeup Artist,"Belsar, Pune","3,500"
Manisha Padale Makeup Artist,"Belsar, Pune","8,000"
Ankita Jadhav Makeup Artist,"Belsar, Pune","10,000"
Sakshi Makeup Emporium,"Belsar, Pune","8,000"
Nilam Shantaram Makeup Artist,"Belsar, Pune","12,000"
Jyoti GP Makeup Artist,"Belsar, Pune","10,000"
Vickys Makeup Artist,"Belsar, Pune","10,000"
Siddhi Sutar Makeup Artist,"Belsar, Pune","4,000"
Nupur Makeup Artist,"Belsar, Pune","11,000"
Amruta Makeup Artist,"Belsar, Pune","20,000"
Pooja Wagh Makeup Artist,"Belsar, Pune","15,000"
Ketaki Atugade Makup Artist,"Belsar, Pune","15,000"
Akshada Ghadge Makeup Artist,"Belsar, Pune","7,000"
Kiran Dhawane Makeup Artist,"Belsar, Pune","10,000"
RG Makeup Artistry,"Belsar, Pune","10,000"
Pratiksha Raskar Makeup Artist,"Belsar, Pune","10,000"
Makeup Artist Mrunal,"Belsar, Pune","8,000"
Makeup Artist Asawari Bandal,"Belsar, Pune","7,000"
Priyanka Devkar Makeover,"Belsar, Pune","10,000"
Pratu Makeover,"Belsar, Pune","10,000"
