Artist Name,Artist Location,Price
Sadhana Lawande Makeover,"Bhivadi, Pune","15,000"
Tanuja Bhise Makeovers,"Bhivadi, Pune","5,000"
Vaishnavi Makeover,"Bhivadi, Pune","10,000"
Sayali Makeover,"Bhivadi, Pune","10,000"
Shraddha Makeover,"Bhivadi, Pune","3,500"
Ashwini Raut Makeup Artist,"Bhivadi, Pune","15,000"
Neha Shinde Makeover,"Bhivadi, Pune","30,000"
Saaj Beauty Manisha Makeover,"Bhivadi, Pune","10,000"
Bhakti Kunjir Makeover,"Bhivadi, Pune","8,000"
Makeover Deepali,"Bhivadi, Pune","15,000"
Kanchan Phadtare Makeovers,"Bhivadi, Pune","5,000"
Swati Pande Makeover,"Bhivadi, Pune","20,000"
Akshara Makeup Artist,"Bhivadi, Pune","15,000"
Mansi Makeup Artist,"Bhivadi, Pune","5,000"
Safi Makeover,"Bhivadi, Pune","8,000"
Shivani Ghisare Makeovers,"Bhivadi, Pune","15,000"
Smita Memane Makeup Artist,"Bhivadi, Pune","15,000"
