Artist Name,Artist Location,Price
Apurvapawar_MakeupArtist,"Bhosari, Pune","5,000"
Rutuja Makeover,"Bhosari, Pune","5,000"
Bronzyyy,"Bhosari, Pune","10,000"
Raziya Makeup Artist,"Bhosari, Pune","5,000"
Muskaan Makeovers,"Bhosari, Pune","10,000"
Shubhangi Landge Makeover,"Bhosari, Pune","7,000"
Sonal Makeup Artist,"Bhosari, Pune","10,000"
Dipali Deshmukh Makeup Artist,"Bhosari, Pune","7,000"
Madhuri Makeover,"Bhosari, Pune","15,000"
Chhaya Ubare Makeupartist,"Bhosari, Pune","7,000"
Vedika Gunjal Makeovers,"Bhosari, Pune","25,000"
Archana Makeover,"Bhosari, Pune","15,000"
Rutujaa Makeover,"Bhosari, Pune","15,000"
Rashmi Narke Makeup Artist,"Bhosari, Pune","5,000"
Trunali Makeover,"Bhosari, Pune","15,000"
Pratiksha More Makeovers,"Bhosari, Pune","10,000"
Alisha Walunj Makeup Artist,"Bhosari, Pune","12,000"
Reshma Dhadge Makeovers,"Bhosari, Pune","5,000"
