Artist Name,Artist Location,Price
Radhika mehta Makeup artist,"Bhusari Colony, Pune","8,000"
Kranti Tambe Makeovers,"Bhusari Colony, Pune","20,000"
Makeover by Rutuja Sonali,"Bhusari Colony, Pune","10,000"
Devyani Makeup Artist,"Bhusari Colony, Pune","10,000"
Priti Makeup Artist,"Bhusari Colony, Pune","7,000"
Makeover By Nishant,"Bhusari Colony, Pune","7,000"
Richas Spa Salon Academy,"Bhusari Colony, Pune","10,000"
Aparnas Elle Hair And Makeup Studio,"Bhusari Colony, Pune","10,000"
Avaniis Makeover,"Bhusari Colony, Pune","10,000"
Nutan Makeup Artist,"Bhusari Colony, Pune","7,000"
Sj Makeup,"Bhusari Colony, Pune","15,000"
Akshadatakale Makeovers,"Bhusari Colony, Pune","15,000"
Vishakha Dhamale Makeup Artist,"Bhusari Colony, Pune","7,000"
AM Makeover,"Bhusari Colony, Pune","15,000"
NV Makeover,"Bhusari Colony, Pune","25,000"
Sadhana Makeup Artist,"Bhusari Colony, Pune","20,000"
Golden Touch By Sandhya,"Bhusari Colony, Pune","5,000"
Kajal Nivangune Makeovers,"Bhusari Colony, Pune","16,000"
Suman Hair And Makeup Artist,"Bhusari Colony, Pune","5,000"
The Vanity Beauty Salon Spa,"Bhusari Colony, Pune","8,000"
Angel Makeover,"Bhusari Colony, Pune","7,000"
Jyoti Makeup Artist,"Bhusari Colony, Pune","7,000"
Sharda Makeup Artist,"Bhusari Colony, Pune","12,000"
Veera Beauty,"Bhusari Colony, Pune","7,000"
