Artist Name,Artist Location,Price
Glamorous Makeup Academy,"Btm Layout, Bangalore","12,000"
Glam Edit By Aakriti,"Btm Layout, Bangalore","3,000"
Tasmiya's Artistry,"Btm Layout, Bangalore","7,500"
Soo Damn Glam By Tousia Ahmed,"Btm Layout, Bangalore","12,000"
Makeup by Nadiya Kulsum,"Btm Layout, Bangalore","6,000"
Gayatri Makeover,"Btm Layout, Bangalore","5,000"
Makeover by Mifta,"Btm Layout, Bangalore","8,000"
Reshma khan,"Btm Layout, Bangalore","5,000"
Anukriti Lal Makeup Artist,"Btm Layout, Bangalore","7,000"
Neer Makeup Artist,"Btm Layout, Bangalore","5,000"
Makeoverartist by Sneha Reddy,"Btm Layout, Bangalore","8,000"
Makeup Artist Kanchan,"Btm Layout, Bangalore","5,000"
