Artist Name,Artist Location,Price
Blossom Makeover by Pooja Kumar,"Burari, Delhi Ncr","15,000"
Tisha Kashyap Makeover,"Burari, Delhi Ncr","15,000"
Niharika Parlour,"Burari, Delhi Ncr","5,000"
Shine by Divya & Ritika,"Burari, Delhi Ncr","7,000"
Makeup art by Sandhya Mishra,"Burari, Delhi Ncr","12,000"
Glitz and Glam,"Burari, Delhi Ncr","7,000"
Makeup By Neha Negi,"Burari, Delhi Ncr","15,000"
Shalu Malhotra Makeup Artist,"Burari, Delhi Ncr","10,000"
Lavina Hair And Makeup Artist,"Burari, Delhi Ncr","10,000"
Aashish Mehra Makeovers,"Burari, Delhi Ncr","18,000"
Kanchan Kaya,"Burari, Delhi Ncr","10,000"
Poonam Pandey Makeup Artist,"Burari, Delhi Ncr","15,000"
Kalyani Makeup Studio,"Burari, Delhi Ncr","10,000"
Barbie Mirror Salon,"Burari, Delhi Ncr","10,000"
Ruby Soni Mua,"Burari, Delhi Ncr","20,000"
Itz New Look Makeover,"Burari, Delhi Ncr","15,000"
Makeovers Ishadayal,"Burari, Delhi Ncr","18,000"
Shivani Makeup Artist,"Burari, Delhi Ncr","6,000"
Sanu Pathak Makeovers,"Burari, Delhi Ncr","10,000"
Elegant Touch By Shivi,"Burari, Delhi Ncr","8,000"
Allure Mua,"Burari, Delhi Ncr","10,000"
Brushed by Preeti,"Burari, Delhi Ncr","15,000"
Makeup By Riya Tyagi,"Burari, Delhi Ncr","12,000"
Disha Makeup and Hair Artist,"Burari, Delhi Ncr","7,000"
