Artist Name,Artist Location,Price
Glam with Pooja Gupta,"Chembur, Mumbai","18,000"
Ritu Waghela Makeovers,"Chembur, Mumbai","8,000"
Sabah Malgi Artistry,"Chembur, Mumbai","18,000"
Makeovers By Anmol Wadhwa,"Chembur, Mumbai","12,000"
R J Makeup and Hair Styling Studio,"Chembur, Mumbai","15,000"
Makeup Artist Rupali,"Chembur, Mumbai","6,000"
Meghna's Makeovers,"Chembur, Mumbai","10,000"
Sajida Shah,"Chembur, Mumbai","25,000"
Makeup Artist Manasi,"Chembur, Mumbai","10,000"
RS Creation,"Chembur, Mumbai","10,000"
AK makeups,"Chembur, Mumbai","12,000"
Makeup and Hair by Sanyap,"Chembur, Mumbai","15,000"
Zoya Beutys Khan,"Chembur, Mumbai","5,000"
Supriya Makeover,"Chembur, Mumbai","6,000"
Nilofer Makeup Artist,"Chembur, Mumbai","10,000"
Fabulicious by Sandra,"Chembur, Mumbai","12,500"
Magic Touch,"Chembur, Mumbai","10,000"
Farzana Fashion and Beauty,"Chembur, Mumbai","7,000"
Mithila Koli Makeover,"Chembur, Mumbai","6,000"
Makeup By Pinkka,"Chembur, Mumbai","12,000"
Priti Makeover,"Chembur, Mumbai","7,000"
Pragati Makeup Expert,"Chembur, Mumbai","7,000"
Glamup with Pradnya,"Chembur, Mumbai","10,000"
R J Makeup,"Chembur, Mumbai","15,000"
