Artist Name,Artist Location,Price
Prajus Makeover,"Chinchwad, Pune","7,500"
Bhavna Makeup Artistry,"Chinchwad, Pune","8,000"
MUA Sushma,"Chinchwad, Pune","9,000"
Komal Dingreja Mua,"Chinchwad, Pune","10,000"
Top 2 Toe,"Chinchwad, Pune","7,000"
B.Beautiful,"Chinchwad, Pune","5,000"
The Makeover,"Chinchwad, Pune","6,500"
Senorita Makeover,"Chinchwad, Pune","25,000"
Shital Makeover,"Chinchwad, Pune","12,000"
Karina Gawai Makeover Artistry,"Chinchwad, Pune","10,000"
Salunke Makeup Artist,"Chinchwad, Pune","10,000"
Pratibha Makeover,"Chinchwad, Pune","7,000"
Glammed by Poornima,"Chinchwad, Pune","10,000"
Makeover by Reshma Kamble,"Chinchwad, Pune","8,000"
Glamour Beauty Parlour,"Chinchwad, Pune","15,000"
Roshani Makeup,"Chinchwad, Pune","13,000"
Renu Makeover,"Chinchwad, Pune","8,000"
Devyani Bhoir Makeup Artist,"Chinchwad, Pune","12,000"
Radhika Munde Makeupartist,"Chinchwad, Pune","8,000"
Pallavi Makeover,"Chinchwad, Pune","7,000"
Prachi Makeup Artist,"Chinchwad, Pune","10,000"
Prerna Beauty Parlor,"Chinchwad, Pune","15,000"
Jadhav Sonali Makeupartist,"Chinchwad, Pune","15,000"
Shruti Setsandi Makeup Artist,"Chinchwad, Pune","7,000"
