Artist Name,Artist Location,Price
Shital Makeover Beauty Salon,"Dhankawadi, Pune","15,000"
Sneha Makeovers,"Dhankawadi, Pune","15,000"
Shruti Makeup Artist,"Dhankawadi, Pune","12,500"
Amruta Borbande Makeup Artist,"Dhankawadi, Pune","9,000"
Madhuri Makeup Artist,"Dhankawadi, Pune","10,000"
Saloni Varma Makeup Artist,"Dhankawadi, Pune","5,000"
Prajakta S Makeover,"Dhankawadi, Pune","15,000"
Shine by Mona,"Dhankawadi, Pune","10,000"
Tanushree Makeover,"Dhankawadi, Pune","10,000"
Sakshi Kasbe Makeover,"Dhankawadi, Pune","5,000"
Siyaa Jagtap Mua,"Dhankawadi, Pune","25,000"
Makeup Artist Sonam Chavan,"Dhankawadi, Pune","5,000"
Flawless Makeup by Prajakta,"Dhankawadi, Pune","5,000"
Pallavi Kutwal Makeovers,"Dhankawadi, Pune","5,000"
