Artist Name,Artist Location,Price
Deepti Wadhwa Mua,"Dilshad Garden, Delhi Ncr","15,000"
Face Artistry by Namita Negi,"Dilshad Garden, Delhi Ncr","15,000"
Henna Beauty Parlour,"Dilshad Garden, Delhi Ncr","5,000"
Instaura Makeovers,"Dilshad Garden, Delhi Ncr","12,000"
Marvelous Makeup Artist,"Dilshad Garden, Delhi Ncr","2,500"
Wake Up & Make Up by Richa,"Dilshad Garden, Delhi Ncr","7,500"
MS Makeover,"Dilshad Garden, Delhi Ncr","12,000"
PN Makeover,"Dilshad Garden, Delhi Ncr","8,000"
Shail makeovers,"Dilshad Garden, Delhi Ncr","15,000"
Blessing Salon,"Dilshad Garden, Delhi Ncr","10,000"
Styles by Laxmi,"Dilshad Garden, Delhi Ncr","20,000"
Vaishali Malhotra Makeovers,"Dilshad Garden, Delhi Ncr","12,000"
Bake Blush Bronze by Ayushi,"Dilshad Garden, Delhi Ncr","15,000"
Kanika Maheshwari Dhawan,"Dilshad Garden, Delhi Ncr","15,000"
Avlon Paris,"Dilshad Garden, Delhi Ncr","15,000"
Makeover By Manju Singh,"Dilshad Garden, Delhi Ncr","15,000"
Vandana Makeover,"Dilshad Garden, Delhi Ncr","12,000"
Nidhi Makeover,"Dilshad Garden, Delhi Ncr","20,000"
Sudiksha Makeovers,"Dilshad Garden, Delhi Ncr","10,000"
Priyanka Kasana Makeup Artist,"Dilshad Garden, Delhi Ncr","15,000"
Lehar Rathore,"Dilshad Garden, Delhi Ncr","8,000"
Roshni Makeovers Studio,"Dilshad Garden, Delhi Ncr","15,000"
Nidz Makeovers,"Dilshad Garden, Delhi Ncr","18,000"
Me Time Makeup Studio,"Dilshad Garden, Delhi Ncr","30,000"
