Artist Name,Artist Location,Price
Lakme Certified Makeup Artist,"Dr As Rao Nagar, Hyderabad","10,000"
Sahara Makeup Studio,"Dr As Rao Nagar, Hyderabad","10,000"
Amrutha Makeover Artistry,"Dr As Rao Nagar, Hyderabad","15,000"
Rajini Makeovers,"Dr As Rao Nagar, Hyderabad","10,000"
Vandana's Bridal Makeover,"Dr As Rao Nagar, Hyderabad","6,500"
Keerthi Makeup Artist,"Dr As Rao Nagar, Hyderabad","10,000"
Lash Makeup Studio,"Dr As Rao Nagar, Hyderabad","10,000"
Saranya Makeover Artistry,"Dr As Rao Nagar, Hyderabad","20,000"
Lucky Makeovers,"Dr As Rao Nagar, Hyderabad","10,000"
Rama Makeup Artist,"Dr As Rao Nagar, Hyderabad","15,000"
