Artist Name,Artist Location,Price
Sri Krishna Makeover,"Dum Dum, Kolkata","15,000"
Jayosree Makeup Studios,"Dum Dum, Kolkata","11,000"
Sonali's Makeover,"Dum Dum, Kolkata","8,000"
SumitraXmakeup,"Dum Dum, Kolkata","7,000"
Reshma's Makeover,"Dum Dum, Kolkata","10,000"
Exquisite Makeovers By Shohini,"Dum Dum, Kolkata","10,000"
Dipanwita's Makeover,"Dum Dum, Kolkata","7,000"
Bhadra Shambo Makeup Artistry,"Dum Dum, Kolkata","18,000"
Labarna s Makeup,"Dum Dum, Kolkata","10,000"
Bridal Makeup Artist Satyajit,"Dum Dum, Kolkata","5,000"
Mamta's Makeover,"Dum Dum, Kolkata","25,000"
Mua Pameli,"Dum Dum, Kolkata","15,000"
Bridal Make Upartist Azmira,"Dum Dum, Kolkata","15,000"
Makeup Artist Ankita Ray,"Dum Dum, Kolkata","15,000"
