Artist Name,Artist Location,Price
Premareddy Makeover Artist,"Electronic City, Bangalore","15,000"
Samvi Makeup Artistry,"Electronic City, Bangalore","8,000"
Makeup by Veena Reddy,"Electronic City, Bangalore","8,000"
Reeths Artustry,"Electronic City, Bangalore","15,000"
Harshada Deshmukh Makeover,"Electronic City, Bangalore","20,000"
Dipakshi Makeup Artist,"Electronic City, Bangalore","12,000"
Yashni's Makeover,"Electronic City, Bangalore","8,000"
Sparkle of Life,"Electronic City, Bangalore","10,000"
Shine Realm Academy,"Electronic City, Bangalore","15,000"
Mua Ankita,"Electronic City, Bangalore","15,000"
Geetha Makeover Artistry,"Electronic City, Bangalore","11,000"
Sparsh Makeover,"Electronic City, Bangalore","15,000"
Makeover by Suchitra,"Electronic City, Bangalore","8,000"
Makeover by Rashmi,"Electronic City, Bangalore","13,000"
Makeup by Zainab,"Electronic City, Bangalore","10,000"
