Artist Name,Artist Location,Price
Snappy Styles Studio,"Faridabad, Delhi","10,000"
Royal On Studio Hair & Beauty Salon,"Faridabad, Delhi","12,000"
The Ishika Makeover,"Faridabad, Delhi","18,000"
Baani Bathla Makeovers,"Faridabad, Delhi","22,500"
Makeup by Keshvi,"Faridabad, Delhi","6,000"
Aanshika Makeup Studio,"Faridabad, Delhi","2,500"
Makeovers by Preeti Nagpal,"Faridabad, Delhi","17,000"
Makeup Diaries by Kajal Chauhan,"Faridabad, Delhi","7,000"
Jessica Makeovers,"Faridabad, Delhi","20,000"
Makeover Lounge,"Faridabad, Delhi","1,500"
Sapna Arora Makeovers,"Faridabad, Delhi","12,000"
Makeup by Jyoti Arora,"Faridabad, Delhi","7,500"
The Beauty Art Parlour,"Faridabad, Delhi","14,000"
Prapti Jain Mua,"Faridabad, Delhi","18,000"
Deepa Arora Makeovers,"Faridabad, Delhi","10,000"
Tanishka Make-up Studio,"Faridabad, Delhi","12,000"
MUA Nancy Ahuja,"Faridabad, Delhi","15,000"
Makeup by Chahat Wadhwa,"Faridabad, Delhi","15,000"
Ragini’s Makeovers,"Faridabad, Delhi","10,000"
Kanika Gulati Makeup Studio,"Faridabad, Delhi","15,000"
Sparkle Makeover,"Faridabad, Delhi","15,000"
Prachi Arora Mua,"Faridabad, Delhi","15,000"
Glamour World 50,"Faridabad, Delhi","25,000"
Teyanaahuja Makeovers,"Faridabad, Delhi","15,000"
