Artist Name,Artist Location,Price
Sarah Makeup Co.,"Frazer Town, Bangalore","10,000"
Makeup by Sudha Baroi,"Frazer Town, Bangalore","12,000"
Bella Signora Makeover,"Frazer Town, Bangalore","15,000"
Makeover By Shwethaaradhya,"Frazer Town, Bangalore","8,000"
Brushes and Lashes,"Frazer Town, Bangalore","15,000"
Makeup Artistry by Farheen Mahmood,"Frazer Town, Bangalore","8,000"
Makeover by Shravani Reddy,"Frazer Town, Bangalore","10,000"
Sneha Makeovers,"Frazer Town, Bangalore","10,000"
Sunaina Mua,"Frazer Town, Bangalore","13,500"
Shri Haritha Makeover,"Frazer Town, Bangalore","10,000"
Miracle 143,"Frazer Town, Bangalore","10,000"
Makeup By Shaziya Sana,"Frazer Town, Bangalore","8,000"
Makeup Artist Gagana,"Frazer Town, Bangalore","10,000"
Sahana Shetty professional Makeover,"Frazer Town, Bangalore","10,000"
Rr Makeover Artistry,"Frazer Town, Bangalore","10,000"
Sowmya S Artistry,"Frazer Town, Bangalore","10,000"
