Artist Name,Artist Location,Price
Trisha Makeup Artist,"Gandhi Nagar, Bangalore","15,000"
Bhavya Ramaprasad Makeovers,"Gandhi Nagar, Bangalore","8,000"
Makeover by Kavya Jyothi,"Gandhi Nagar, Bangalore","10,000"
Makeup by Mannat,"Gandhi Nagar, Bangalore","15,000"
Shilpa Makeover,"Gandhi Nagar, Bangalore","15,000"
Makeover by Chandu,"Gandhi Nagar, Bangalore","15,000"
Veena Makeover Artistry,"Gandhi Nagar, Bangalore","12,000"
Vr Makeovers Makeup,"Gandhi Nagar, Bangalore","12,000"
C k Beauty Salon and Makeup Academy,"Gandhi Nagar, Bangalore","10,000"
Makeover by Chandu,"Gandhi Nagar, Bangalore","15,000"
Milan Makeover,"Gandhi Nagar, Bangalore","10,000"
Allure Makeover by Aparna,"Gandhi Nagar, Bangalore","12,000"
Sudha Sridhar Makeover,"Gandhi Nagar, Bangalore","12,000"
Makeup Chronicles by Saisahithi,"Gandhi Nagar, Bangalore","8,000"
Tehreen Mahdiya Makeup Artist,"Gandhi Nagar, Bangalore","4,000"
Makeover by Bhavana Abhishek,"Gandhi Nagar, Bangalore","12,000"
Makeover by Sucharitha,"Gandhi Nagar, Bangalore","12,000"
Makeover by Rg,"Gandhi Nagar, Bangalore","10,000"
Gopal Makeover Stm,"Gandhi Nagar, Bangalore","35,000"
Makeovers with Mithuna Gowda,"Gandhi Nagar, Bangalore","15,000"
Makeover with Anu,"Gandhi Nagar, Bangalore","10,000"
Makeover by Natural Blitz,"Gandhi Nagar, Bangalore","12,000"
D9 Makeover,"Gandhi Nagar, Bangalore","10,000"
