Artist Name,Artist Location,Price
Makeover Neeta,"Ghazipur, Delhi","25,000"
Shweta Solanki Makeup Artist,"Ghazipur, Delhi","7,000"
Sakshi Makeovers,"Ghazipur, Delhi","8,000"
Beauty bar by Inkal,"Ghazipur, Delhi","25,000"
Elegant Makeup By Himanshi,"Ghazipur, Delhi","15,000"
Anjana Makeover,"Ghazipur, Delhi","15,000"
Noor Makeover,"Ghazipur, Delhi","8,000"
Makeover Nikita,"Ghazipur, Delhi","15,000"
Renu Makeover,"Ghazipur, Delhi","10,000"
Shalu Makeovers,"Ghazipur, Delhi","10,000"
Meenakshi Makeup Studio,"Ghazipur, Delhi","12,000"
Shringar Beauty Parlour,"Ghazipur, Delhi","5,000"
Mansi Makeup Artist,"Ghazipur, Delhi","8,000"
Anuradha Makeover,"Ghazipur, Delhi","25,000"
Makeovers by Kavi,"Ghazipur, Delhi","11,000"
