Artist Name,Artist Location,Price
Divya Hair And Looks,"Goregaon East, Mumbai","8,000"
Makeup by Neha Singh,"Goregaon East, Mumbai","10,000"
Nimisha Kaklotar Makeup Artist,"Goregaon East, Mumbai","10,000"
Maha Bridal Makeup Artist,"Goregaon East, Mumbai","20,000"
Leanne Coutinho Makeup Artist,"Goregaon East, Mumbai","16,000"
Kanika Arora- Hair and Makeup Artist,"Goregaon East, Mumbai","25,000"
Makeover by Priyanka,"Goregaon East, Mumbai","4,500"
"Lakme Salon Goregaon East,Mumbai","Goregaon East, Mumbai","3,000"
Sakshi Professional Hair and Makeup Artist,"Goregaon East, Mumbai","12,000"
Glow with N by Namrata,"Goregaon East, Mumbai","15,000"
Aranya Batwal Makeup Artist,"Goregaon East, Mumbai","5,000"
Simran Mavji Makeovers,"Goregaon East, Mumbai","16,000"
Tejasvi Beauty Parlour,"Goregaon East, Mumbai","8,000"
Rameez Ahmed Makeup Artist,"Goregaon East, Mumbai","10,000"
Shobha Makeup Artist,"Goregaon East, Mumbai","15,000"
Make up by Afreen,"Goregaon East, Mumbai","20,000"
