Artist Name,Artist Location,Price
Princess Picasso makeup,"Janakpuri, Delhi","10,000"
Sukhvinder Kaur Makeover,"Janakpuri, Delhi","16,000"
Prachi Makeup,"Janakpuri, Delhi","10,000"
Dolledup By Gunjan,"Janakpuri, Delhi","12,500"
Samaira Makeover,"Janakpuri, Delhi","10,000"
Simmi Chhabra Makeup Artistry,"Janakpuri, Delhi","16,000"
Khushbu Dua Makeovers,"Janakpuri, Delhi","7,500"
Makeover by Pout N Puff,"Janakpuri, Delhi","25,000"
Noble Touch Makeover,"Janakpuri, Delhi","10,000"
Makeup By Shruti Sharma,"Janakpuri, Delhi","20,000"
Anju Tirkey Makeover,"Janakpuri, Delhi","5,000"
Ajay Shelar Makeup Academy,"Janakpuri, Delhi","15,000"
Inder Preet Makeovers,"Janakpuri, Delhi","10,000"
S.K Hair and Makeup Studio,"Janakpuri, Delhi","15,000"
Alps Jail Road Unisex Salon,"Janakpuri, Delhi","5,999"
Sanya'z Studio,"Janakpuri, Delhi","15,000"
Ojasvi Makeovers,"Janakpuri, Delhi","1,600"
Fairness Makeover,"Janakpuri, Delhi","8,000"
Gurleen MUA,"Janakpuri, Delhi","30,000"
Seema Mahto Makeup Artist,"Janakpuri, Delhi","8,000"
Dreams Come True ladies Salon,"Janakpuri, Delhi","15,000"
Ritu Makeup Studio,"Janakpuri, Delhi","17,000"
Makeover by Nisha Joshi,"Janakpuri, Delhi","20,000"
Chesta Arora Gulati Makeover,"Janakpuri, Delhi","20,000"
