Artist Name,Artist Location,Price
Mefa Glow Clinic,"Jayanagar, Bangalore","8,000"
Lakme salon,"Jayanagar, Bangalore","6,500"
The Makeup Planet,"Jayanagar, Bangalore","15,000"
Luminous Studio,"Jayanagar, Bangalore","6,000"
Twilight Beauty,"Jayanagar, Bangalore","7,000"
Cute Look Hair an Beauty Salon,"Jayanagar, Bangalore","5,000"
Makeup By Naseeba,"Jayanagar, Bangalore","8,000"
Makeup by Amira Rukh Shaikh,"Jayanagar, Bangalore","5,000"
Pratiksha Makeup Artist,"Jayanagar, Bangalore","8,000"
Archana Makeup Artist,"Jayanagar, Bangalore","12,000"
Yadvitha Makeup Artist,"Jayanagar, Bangalore","10,000"
Azmi - Glitz Makeup Artistry,"Jayanagar, Bangalore","8,000"
