Artist Name,Artist Location,Price
Glomour With Saloni Jain,"Kandivali, Mumbai","15,000"
Anita Beauty And Makeover,"Kandivali, Mumbai","7,000"
PERFECT GLAM STUDIO,"Kandivali, Mumbai","8,000"
Deepika MUA,"Kandivali, Mumbai","15,000"
The Indian Institute of Hair N Beauty,"Kandivali, Mumbai","15,000"
Glam to Goregous,"Kandivali, Mumbai","15,000"
Makeovers by Jinisha,"Kandivali, Mumbai","15,000"
Dhara Mody Makeup & Hair Artist,"Kandivali, Mumbai","15,000"
Feathered flips,"Kandivali, Mumbai","8,000"
MUA Pratiksha Bhagyashree,"Kandivali, Mumbai","15,000"
MS Bridal Makeover,"Kandivali, Mumbai","4,000"
Foramsheths Makeover,"Kandivali, Mumbai","12,000"
Chetna Sangani Makeup Artist,"Kandivali, Mumbai","35,000"
Reena's Makeup and Hair Beauty,"Kandivali, Mumbai","8,000"
Makeup Artist Minal,"Kandivali, Mumbai","15,000"
Glam Me Pretty Makeup,"Kandivali, Mumbai","10,000"
Ami Sagar Makeup Artist,"Kandivali, Mumbai","15,000"
Sandhya Makeup Artist,"Kandivali, Mumbai","7,000"
Colourz Salon,"Kandivali, Mumbai","25,000"
Madhu Singh Makeovers,"Kandivali, Mumbai","10,000"
Dipti Nagda Makeup Artist,"Kandivali, Mumbai","10,000"
Makeover With Me Ashu 75,"Kandivali, Mumbai","12,000"
Arpitta Bridal Makeover,"Kandivali, Mumbai","5,000"
Makeover by Shru,"Kandivali, Mumbai","15,000"
