Artist Name,Artist Location,Price
Pooja Vidolkar Makeup And Hair Artistry,"Katraj, Pune","7,000"
Shital Makeovers,"Katraj, Pune","10,000"
Attitude Beauty,"Katraj, Pune","7,000"
Pal Makeover studio,"Katraj, Pune","5,000"
Gauri Kulkarni Makeup Artist,"Katraj, Pune","5,000"
Makeover by Ruchita,"Katraj, Pune","7,000"
Red Rose Make-up Studio,"Katraj, Pune","7,000"
Sarika Makeovers,"Katraj, Pune","5,000"
Ruchi Makeovers,"Katraj, Pune","18,000"
Pragati Makeover,"Katraj, Pune","7,000"
Caramel Beauty Spot,"Katraj, Pune","8,000"
Sakshi Makeup Studio,"Katraj, Pune","8,000"
Makeover by Gayatri Bhilare,"Katraj, Pune","5,000"
Aditi Shinde Makeup Artist,"Katraj, Pune","6,000"
Niks Makeovers,"Katraj, Pune","5,000"
Anisha Bhosale Makeovers,"Katraj, Pune","5,000"
The Pearl Makeupartist,"Katraj, Pune","10,000"
Swati Makeovers,"Katraj, Pune","10,000"
Neha Makeover,"Katraj, Pune","5,000"
Divya Makeover,"Katraj, Pune","5,000"
