Artist Name,Artist Location,Price
Blush And Beauty Makeup,"Kondapur, Hyderabad","20,000"
Vidyajyoti Makeup,"Kondapur, Hyderabad","15,000"
Palette Makeoverz,"Kondapur, Hyderabad","10,000"
Artistic Touch By Ritz,"Kondapur, Hyderabad","10,000"
Makeup By Medha,"Kondapur, Hyderabad","20,000"
Hanuus Makeup Studio,"Kondapur, Hyderabad","20,000"
Sana Firdos,"Kondapur, Hyderabad","10,000"
Makeup Artist Roja,"Kondapur, Hyderabad","7,000"
VM Artistry,"Kondapur, Hyderabad","5,000"
Mounika Makeover,"Kondapur, Hyderabad","15,000"
