Artist Name,Artist Location,Price
Makeup by Sejal Saraf,"Kothrud, Pune","15,000"
Dhanashree Makeover,"Kothrud, Pune","8,000"
Cia'z Makeover,"Kothrud, Pune","10,000"
Waght Makeup Artist,"Kothrud, Pune","5,000"
Roop Kala Makeup Studio,"Kothrud, Pune","10,000"
Deepika Parmar Makeup Artist,"Kothrud, Pune","10,000"
Prianca Karande Makeup Artist,"Kothrud, Pune","12,000"
Saaj Beauty Studio,"Kothrud, Pune","10,000"
Pooja Makeup Artist,"Kothrud, Pune","15,000"
My Beautician,"Kothrud, Pune","7,000"
Manasi Kandhare Mua,"Kothrud, Pune","4,500"
Makeup Artist Manali,"Kothrud, Pune","5,000"
Priya Makeover,"Kothrud, Pune","18,000"
LK Lata Makeover,"Kothrud, Pune","20,000"
Poonam Gaikwad Makeup Artist,"Kothrud, Pune","10,000"
Gaurii Makeover,"Kothrud, Pune","8,000"
Shwetas Makeover,"Kothrud, Pune","6,000"
