Artist Name,Artist Location,Price
Keerthiz makeover,"Koyambedu, Chennai","8,000"
Merci Makeup Studio,"Koyambedu, Chennai","12,500"
Nivetha Rajendran Makeup Artist,"Koyambedu, Chennai","10,000"
Bronzer Mupa,"Koyambedu, Chennai","5,000"
Mahas Beauty Parlour,"Koyambedu, Chennai","10,000"
Revathy Makeover,"Koyambedu, Chennai","7,000"
Sandhiya Makeup Artist,"Koyambedu, Chennai","15,000"
Kavi's Makeup Artist,"Koyambedu, Chennai","8,000"
Niram by Monica,"Koyambedu, Chennai","8,000"
Anushyaa Makeup Artist,"Koyambedu, Chennai","30,000"
