Artist Name,Artist Location,Price
Sugar Lip Makeovers,"Krishna Nagar, Delhi Ncr","8,000"
Makeover by Priya,"Krishna Nagar, Delhi Ncr","12,000"
Makeup Rush,"Krishna Nagar, Delhi Ncr","18,000"
Lush By Bhanu Malik,"Krishna Nagar, Delhi Ncr","7,000"
Makeover By Nisha Malhotra,"Krishna Nagar, Delhi Ncr","6,000"
Be Beautiful Be Flawless,"Krishna Nagar, Delhi Ncr","7,000"
Makeup Zone,"Krishna Nagar, Delhi Ncr","20,000"
Taran Makeovers,"Krishna Nagar, Delhi Ncr","17,000"
Nisha Makeovers,"Krishna Nagar, Delhi Ncr","12,000"
Royal Makeovers,"Krishna Nagar, Delhi Ncr","11,000"
Neha Khattar makeovers,"Krishna Nagar, Delhi Ncr","11,000"
Elegant Makeovers,"Krishna Nagar, Delhi Ncr","8,000"
Anshi makeovers,"Krishna Nagar, Delhi Ncr","10,000"
Shilpi Bhatia Makeovers,"Krishna Nagar, Delhi Ncr","8,000"
Anju Makeup Studio,"Krishna Nagar, Delhi Ncr","10,000"
Makeup artist & hair Styler Vandana,"Krishna Nagar, Delhi Ncr","25,000"
Makeup by Twinkle Munjal,"Krishna Nagar, Delhi Ncr","15,000"
Rekha Batra Makeover,"Krishna Nagar, Delhi Ncr","10,000"
Almas Naqvi Mua,"Krishna Nagar, Delhi Ncr","8,000"
