Artist Name,Artist Location,Price
Iza Setia Makeovers,"Lajpat Nagar, Delhi","35,000"
Himanika Makeovers & Pro. Studio,"Lajpat Nagar, Delhi","12,000"
Preeti Khatri,"Lajpat Nagar, Delhi","21,000"
Makeup by Prags,"Lajpat Nagar, Delhi","20,000"
Makeovers By Anchal,"Lajpat Nagar, Delhi","20,000"
Renu Suri Makeovers,"Lajpat Nagar, Delhi","15,000"
Makeup by Monah Khurana,"Lajpat Nagar, Delhi","20,000"
Blush N Click by Yashika,"Lajpat Nagar, Delhi","12,000"
Makeup Bytins,"Lajpat Nagar, Delhi","10,000"
Deep Mallik MUA,"Lajpat Nagar, Delhi","12,000"
Glamorous You,"Lajpat Nagar, Delhi","12,000"
Mahima and Aayushi Makeover,"Lajpat Nagar, Delhi","14,000"
Priyanjal Verma Makeover,"Lajpat Nagar, Delhi","15,000"
Glam N Dazzle,"Lajpat Nagar, Delhi","13,000"
De Velvet Salon Lajpat,"Lajpat Nagar, Delhi","20,000"
Ankita Tripathi Makeup Artist,"Lajpat Nagar, Delhi","24,000"
Parnika shrivastava,"Lajpat Nagar, Delhi","15,000"
Geetika MUA,"Lajpat Nagar, Delhi","8,000"
Glow up with Hurvashi,"Lajpat Nagar, Delhi","12,000"
Glam by Smriti,"Lajpat Nagar, Delhi","16,000"
Preek Makeover,"Lajpat Nagar, Delhi","10,000"
Makeup by Harpreet gujral,"Lajpat Nagar, Delhi","10,000"
Makeover by Savi,"Lajpat Nagar, Delhi","8,000"
Glam By Bushra,"Lajpat Nagar, Delhi","15,000"
