Artist Name,Artist Location,Price
Disha Makeover,"Laxmi Nagar, Delhi Ncr","10,000"
Anushka Makeovers,"Laxmi Nagar, Delhi Ncr","16,000"
Gorgeous Makeover,"Laxmi Nagar, Delhi Ncr","12,000"
Kavita Bhaskar Makeover,"Laxmi Nagar, Delhi Ncr","18,000"
Shivani Makeup Artist,"Laxmi Nagar, Delhi Ncr","13,000"
Sarika Makeover,"Laxmi Nagar, Delhi Ncr",999
Deepshika Makeovers,"Laxmi Nagar, Delhi Ncr","10,000"
Makeups by Pallavi Morwal,"Laxmi Nagar, Delhi Ncr","10,000"
Pooja Gupta Makeovers,"Laxmi Nagar, Delhi Ncr","8,000"
Kanishka Agarwal,"Laxmi Nagar, Delhi Ncr","5,000"
The Makeover Place,"Laxmi Nagar, Delhi Ncr","20,000"
The Red Carpet Make-Up Studio and Academy.,"Laxmi Nagar, Delhi Ncr","15,000"
Makeup By Shiivi,"Laxmi Nagar, Delhi Ncr","12,000"
Meenu Singh Makeover,"Laxmi Nagar, Delhi Ncr","10,000"
Garvit MUA,"Laxmi Nagar, Delhi Ncr","8,000"
Geetanjali Goel Makeovers,"Laxmi Nagar, Delhi Ncr","8,000"
Anjali Makeup Artist,"Laxmi Nagar, Delhi Ncr","10,000"
Renna N Makeover Beauty,"Laxmi Nagar, Delhi Ncr","7,000"
Makeup by Riya,"Laxmi Nagar, Delhi Ncr","15,000"
Kanikaanand Makeover,"Laxmi Nagar, Delhi Ncr","20,000"
