Artist Name,Artist Location,Price
Aarjishan Bridal Makeup Studio and Academy,"Malad, Mumbai","5,000"
Makeup Artist Raj,"Malad, Mumbai","15,000"
The Glamour Zone By Rupal,"Malad, Mumbai","15,000"
Shraddha Patkar_Makeup Artist,"Malad, Mumbai","10,000"
Make up by Jyoti,"Malad, Mumbai","20,000"
Themakeupcafe,"Malad, Mumbai","12,000"
Sadika Sonar Makeup Artist,"Malad, Mumbai","10,000"
Meghna Makeover,"Malad, Mumbai","10,000"
Mercy Michaelraj Makeovers,"Malad, Mumbai","8,000"
Silky Makeup and Hairstyle,"Malad, Mumbai","7,000"
The Glam Makeup,"Malad, Mumbai","15,000"
Hajra Toofani Makeup Artist and Hairstylist,"Malad, Mumbai","7,000"
Nisha Padhariya Bridal World,"Malad, Mumbai","15,000"
Sakshi bridal makeoverz,"Malad, Mumbai","10,000"
Alisha Karmalkar Makeup,"Malad, Mumbai","15,000"
Ayesha Makeup Artist,"Malad, Mumbai","15,000"
Preety Look Bridal World,"Malad, Mumbai","8,000"
