Artist Name,Artist Location,Price
Neha Artistry,"Malad West, Mumbai","15,000"
SK Artistry,"Malad West, Mumbai","10,000"
Chetna's Bridal World,"Malad West, Mumbai","10,000"
Muskan Raut,"Malad West, Mumbai","15,000"
Shree Makeup Artist,"Malad West, Mumbai","12,000"
Priyanshi Make up and Hair,"Malad West, Mumbai","18,000"
Jennisha Chheda MUA,"Malad West, Mumbai","8,000"
Vasudha Makeup Artist,"Malad West, Mumbai","10,000"
Makeup by Shital,"Malad West, Mumbai","8,000"
TracyJ MUA,"Malad West, Mumbai","15,000"
Brushes And Blushes Hub,"Malad West, Mumbai","25,000"
Sucharita Das Makeup Artist,"Malad West, Mumbai","15,000"
Makeup By Prushti,"Malad West, Mumbai","10,000"
Meeta's Bridal World & Academy,"Malad West, Mumbai","12,000"
MyMuas - Makeup Studio (Bridal Makeup),"Malad West, Mumbai","9,990"
Glitterglam With Nisha Kothari,"Malad West, Mumbai","8,000"
Beauty n Glow,"Malad West, Mumbai","7,000"
Makeupby_Namrata,"Malad West, Mumbai","10,000"
Shanaya Makeovers,"Malad West, Mumbai","7,000"
Asli Chinese Beauty Parlour,"Malad West, Mumbai","2,000"
Celebrities Makeup Artist Ashu Parwani,"Malad West, Mumbai","11,000"
