Artist Name,Artist Location,Price
Unboxbeauty By Sunil,"Manikonda, Hyderabad","20,000"
Meghana Reddy Makeover,"Manikonda, Hyderabad","10,000"
Sheetal Pro Makeup Artist,"Manikonda, Hyderabad","8,000"
Rajitha Makeup Artist,"Manikonda, Hyderabad","10,000"
Pratyusha Makeup Artist,"Manikonda, Hyderabad","20,000"
Chabby's Blush,"Manikonda, Hyderabad","8,000"
Sireesha Professional Makeover,"Manikonda, Hyderabad","10,000"
Bolgani Makeup Studio and Academy,"Manikonda, Hyderabad","25,000"
Makeovers by Sheen,"Manikonda, Hyderabad","10,000"
Pallavz Makeover,"Manikonda, Hyderabad","10,000"
