Artist Name,Artist Location,Price
Karishma SV Shetty Makeup Artist,"Matunga, Mumbai","10,000"
Yesha Mody Official,"Matunga, Mumbai","3,000"
Nikki's makeover studio,"Matunga, Mumbai","15,000"
Back 2 Beauty,"Matunga, Mumbai","20,000"
Makeup by Archiii,"Matunga, Mumbai","10,000"
Makeup by Hiral Savla,"Matunga, Mumbai","10,000"
Rashmi Jogu Makeovers,"Matunga, Mumbai","15,000"
Manju Makeup Hair Stylist,"Matunga, Mumbai","10,000"
Beauty Glamour Salon,"Matunga, Mumbai","5,000"
Swara Makeup Artist,"Matunga, Mumbai","6,000"
Anitaladwa Makeup Artist,"Matunga, Mumbai","6,000"
