Artist Name,Artist Location,Price
Make-up By Rimani Mahajan,"Mayur Vihar, Delhi","22,000"
Makeover by Neelam,"Mayur Vihar, Delhi","10,000"
Shalini's Makeover Makeup Artist,"Mayur Vihar, Delhi","10,000"
Wob Makeup Studio,"Mayur Vihar, Delhi","8,000"
Sunil Makeover,"Mayur Vihar, Delhi","25,000"
Nidhi Makeovers,"Mayur Vihar, Delhi","15,000"
Yamini's Revamp,"Mayur Vihar, Delhi","10,000"
Shabnam Abbasi Makeup Artist,"Mayur Vihar, Delhi","20,000"
Aptmakeover,"Mayur Vihar, Delhi","12,000"
Blush & Lashes by Neha,"Mayur Vihar, Delhi","12,000"
Kanika Makeover,"Mayur Vihar, Delhi","20,000"
Soni Makeup Artist,"Mayur Vihar, Delhi","15,000"
Vibrant Makeup by Priyanka,"Mayur Vihar, Delhi","6,000"
Geetanjali Makeover,"Mayur Vihar, Delhi","10,000"
Lalita Makeovers 88,"Mayur Vihar, Delhi","10,000"
Roshni makeovers,"Mayur Vihar, Delhi","15,000"
