Artist Name,Artist Location,Price
Nakshatra Makeup,"Medavakkam, Chennai","10,000"
Kanav Bridal Makeover,"Medavakkam, Chennai","10,000"
Mrs Jai Makeover,"Medavakkam, Chennai","6,999"
Nandhini Makeup Hairstyle,"Medavakkam, Chennai","6,999"
Vaishali Krishnan Makeup Artist,"Medavakkam, Chennai","15,000"
Nandhini Makeup Hairstyle,"Medavakkam, Chennai","5,999"
Thamizh Makeover Artist,"Medavakkam, Chennai","8,500"
Saianu Makeup Artist,"Medavakkam, Chennai","8,000"
Kriba Makeup,"Medavakkam, Chennai","18,000"
Heaven of Beauty Womens Care,"Medavakkam, Chennai","7,000"
Glam Makeover Studio,"Medavakkam, Chennai","10,000"
Anu Bridal Makeup Artistry,"Medavakkam, Chennai","10,000"
Hema Srikanth Makeup Artist,"Medavakkam, Chennai","10,000"
Rakshas Makeover Studio,"Medavakkam, Chennai","5,000"
Devi Makeover Fashion Artistry,"Medavakkam, Chennai","15,000"
Meghna Makeup Artist,"Medavakkam, Chennai","6,000"
