Artist Name,Artist Location,Price
Makeover by Sampurna,"Miyapur, Hyderabad","10,000"
Twilight Makeover,"Miyapur, Hyderabad","15,000"
Monaa Makeup Artist,"Miyapur, Hyderabad","8,000"
Sparkle Makeovers,"Miyapur, Hyderabad","8,000"
Color Me Crazy,"Miyapur, Hyderabad","8,000"
Jaguar Unisex Salon,"Miyapur, Hyderabad","10,000"
Radha Makeup Artist,"Miyapur, Hyderabad","8,000"
VeeVams Makeup Studio,"Miyapur, Hyderabad","7,000"
Makeover By Sravya Pattapu,"Miyapur, Hyderabad","8,000"
Get Elegant By Chandana,"Miyapur, Hyderabad","10,000"
Priya Beauty Zone,"Miyapur, Hyderabad","3,500"
Above the Makeup Alakya,"Miyapur, Hyderabad","5,000"
Al Ameen Makeovers,"Miyapur, Hyderabad","8,000"
Shailaja Makeup Artist,"Miyapur, Hyderabad","12,000"
Arunima Makeup Artist,"Miyapur, Hyderabad","3,500"
Sushma Varma Artistry,"Miyapur, Hyderabad","15,000"
Poorvi Makeover,"Miyapur, Hyderabad","10,000"
Pari Makeovers,"Miyapur, Hyderabad","5,000"
