Artist Name,Artist Location,Price
Arushi Makeovers,"Model Town, Delhi","18,000"
Luxure By Parul,"Model Town, Delhi","14,000"
V&K Makeup Artist,"Model Town, Delhi","15,000"
Astha Kalra Makeup Artist,"Model Town, Delhi","15,000"
Houseobeautyy by Sahil,"Model Town, Delhi","40,000"
Beauty Forever,"Model Town, Delhi","8,000"
Slay by Mahi,"Model Town, Delhi","12,000"
Makeup by Kashish,"Model Town, Delhi","17,000"
Makeovers by Tarishi,"Model Town, Delhi","12,000"
Get Gorgeous Salonre,"Model Town, Delhi","10,000"
Makeover by Deepanshi Agarwal,"Model Town, Delhi","5,500"
Glamswag Makeover by Tanisha,"Model Town, Delhi","20,000"
Ruby Saboo Hair Artistry and Makeup,"Model Town, Delhi","20,000"
Ekta Kochar Makeup,"Model Town, Delhi","30,000"
Smitten by Ankitabirla,"Model Town, Delhi","35,000"
