Artist Name,Artist Location,Price
Pooja Beauty Parlour,"Navi Mumbai, Navi Mumbai","8,000"
Nehala Makeover,"Navi Mumbai, Navi Mumbai","7,000"
Rose Salon,"Navi Mumbai, Navi Mumbai","9,000"
Poonam's Bridal makeover,"Navi Mumbai, Navi Mumbai","10,000"
Anushree Makeup Artist,"Navi Mumbai, Navi Mumbai","8,500"
Dimpal Jain Artistry,"Navi Mumbai, Navi Mumbai","15,000"
Makeup By Sarah,"Navi Mumbai, Navi Mumbai","15,000"
Makeup Diaries By Amruta,"Navi Mumbai, Navi Mumbai","10,000"
Vrushali Makeup Artist and Hair,"Navi Mumbai, Navi Mumbai","8,000"
Issita's Makeover,"Navi Mumbai, Navi Mumbai","6,000"
Makeovers by Arshiya Rehman,"Navi Mumbai, Navi Mumbai","6,000"
Naturally Yours Lounge,"Navi Mumbai, Navi Mumbai","8,000"
Trust,"Navi Mumbai, Navi Mumbai","8,000"
Shabnam Makeover,"Navi Mumbai, Navi Mumbai","5,000"
Swamini Makeover,"Navi Mumbai, Navi Mumbai","8,000"
Bhavika Makeover,"Navi Mumbai, Navi Mumbai","8,000"
Makeover by Sheetal,"Navi Mumbai, Navi Mumbai","3,000"
Beauty Secrets,"Navi Mumbai, Navi Mumbai","25,000"
Ritika Dsouza Makeup,"Navi Mumbai, Navi Mumbai","8,000"
Janvi's Beauty And Makeover,"Navi Mumbai, Navi Mumbai","5,000"
Glamour Fusion,"Navi Mumbai, Navi Mumbai","12,000"
Bridal Blend Studio,"Navi Mumbai, Navi Mumbai","15,000"
Tamanna Panjwani Makeup,"Navi Mumbai, Navi Mumbai","2,000"
Nilima Makeup Artist & Salon,"Navi Mumbai, Navi Mumbai","20,000"
