Artist Name,Artist Location,Price
Ishika Makeovers by Arya,"Neyyattinkara, Thiruvananthapuram","15,000"
Aiswarya Beauty Parlour,"Neyyattinkara, Thiruvananthapuram","15,000"
ABCD Beauty Parlour,"Neyyattinkara, Thiruvananthapuram","10,000"
Madonna Beauty Parlour ,"Neyyattinkara, Thiruvananthapuram","20,000"
Aiswarya Beauty Parlour,"Neyyattinkara, Thiruvananthapuram","20,000"
Ammu Beauty Parlour,"Neyyattinkara, Thiruvananthapuram","12,000"
Dew Soul Makeup Studio,"Neyyattinkara, Thiruvananthapuram","15,000"
Varnam Beauty Lounge,"Neyyattinkara, Thiruvananthapuram","12,000"
Mukhasree Beauty Clinic,"Neyyattinkara, Thiruvananthapuram","15,000"
Makeover Makeup Studio,"Neyyattinkara, Thiruvananthapuram","15,000"
Munnas Beauty Hub,"Neyyattinkara, Thiruvananthapuram","18,000"
Vajra Beauty Salon,"Neyyattinkara, Thiruvananthapuram","12,000"
