Artist Name,Artist Location,Price
Makeup Artist Upendra,"Nungambakkam, Chennai","8,000"
Bride over,"Nungambakkam, Chennai","40,000"
FTV Salon Sterling Road Chennai,"Nungambakkam, Chennai","10,000"
Glam Bridal Makeover,"Nungambakkam, Chennai","5,000"
Vannam Makeup Artistry,"Nungambakkam, Chennai","16,500"
Thilaga Makeover,"Nungambakkam, Chennai","15,000"
Shobi Bridal Studio,"Nungambakkam, Chennai","12,500"
Anu Bridal Studio,"Nungambakkam, Chennai","15,000"
Brindha's Bridal Makeover,"Nungambakkam, Chennai","10,000"
MG Beauty Parlor,"Nungambakkam, Chennai","5,000"
Osheen Makeovers,"Nungambakkam, Chennai","12,000"
Style Dreams,"Nungambakkam, Chennai","8,000"
Preethi Makeup Artist,"Nungambakkam, Chennai","7,500"
Tantaliz Eyes Makeup,"Nungambakkam, Chennai","15,000"
Naziya creations,"Nungambakkam, Chennai","5,999"
Page3 Salon - Khader Nawaz Khan Road,"Nungambakkam, Chennai","17,700"
Walk-in Trim,"Nungambakkam, Chennai","8,000"
Sals Artistry,"Nungambakkam, Chennai","12,500"
Honey Beauty Lounge,"Nungambakkam, Chennai","15,000"
SK Makeover Artistry,"Nungambakkam, Chennai","10,000"
Preethika Makeover Artistry's,"Nungambakkam, Chennai","10,000"
Vurve Signature Salon,"Nungambakkam, Chennai","14,500"
