Artist Name,Artist Location,Price
Sreedha's Makeup Artistry,"Peerzadiguda, Hyderabad","15,000"
Saritha Makeover Artistry,"Peerzadiguda, Hyderabad","10,000"
Glance Makeovers,"Peerzadiguda, Hyderabad","5,000"
Shivani Makeover,"Peerzadiguda, Hyderabad","10,000"
Srilatha Makeup Artist,"Peerzadiguda, Hyderabad","12,000"
Vijaya Makeup Artist,"Peerzadiguda, Hyderabad","8,000"
Veda Makeup Artist,"Peerzadiguda, Hyderabad","15,000"
Jaanu Professional Makeup Artist,"Peerzadiguda, Hyderabad","18,000"
Angles Spot,"Peerzadiguda, Hyderabad","10,000"
Eden Beauty Parlour,"Peerzadiguda, Hyderabad","5,000"
Noorain makeovers,"Peerzadiguda, Hyderabad","10,000"
Sreeja Makeup Artist,"Peerzadiguda, Hyderabad","12,000"
Sultana Makeup Artist,"Peerzadiguda, Hyderabad","10,000"
