Artist Name,Artist Location,Price
Kalyani Makeup Artist,"Pimpri Chinchwad, Pune","10,000"
Shades Makeovers,"Pimpri Chinchwad, Pune","6,500"
Pritis Makeupart,"Pimpri Chinchwad, Pune","3,000"
Glamup Bridal World,"Pimpri Chinchwad, Pune","8,000"
Aru Shimmers,"Pimpri Chinchwad, Pune","12,000"
Swamini Beauty Salon and Makeup Studio,"Pimpri Chinchwad, Pune","5,000"
Vaibhavi Makeup Artist,"Pimpri Chinchwad, Pune","12,000"
Makeover by Sonal 11,"Pimpri Chinchwad, Pune","30,000"
Supreme Sparkle Makeup Studio,"Pimpri Chinchwad, Pune","8,000"
Farhana Khan Makeup Artist,"Pimpri Chinchwad, Pune","8,000"
SB Makeup Studio,"Pimpri Chinchwad, Pune","15,000"
Alfiyapinjari Makeup Artist,"Pimpri Chinchwad, Pune","10,000"
Annus Ladies Beauty Parlour,"Pimpri Chinchwad, Pune","15,000"
