Artist Name,Artist Location,Price
Sahibba chadhok Makeover's,"Punjabi Bagh, Delhi","20,000"
Kanikka Tandon Studdio,"Punjabi Bagh, Delhi","33,000"
Kajal Nanda Makeup artist,"Punjabi Bagh, Delhi","25,000"
Mouna Lall Makeovers,"Punjabi Bagh, Delhi","11,000"
Kiran Makeup Artist,"Punjabi Bagh, Delhi","5,000"
Aastha Nagpal Makeovers,"Punjabi Bagh, Delhi","15,000"
Sparkliez Makeup Studio,"Punjabi Bagh, Delhi","12,000"
Sukoon Gulati Makeovers,"Punjabi Bagh, Delhi","18,000"
Glow by Rashi,"Punjabi Bagh, Delhi","20,000"
Sonal Garg Makeovers,"Punjabi Bagh, Delhi","25,000"
Makeover by Divya Singh,"Punjabi Bagh, Delhi","10,000"
Airan Makeovers,"Punjabi Bagh, Delhi","7,500"
Lookzotica Luxurious Salon,"Punjabi Bagh, Delhi","7,000"
Monica Thukral MUA,"Punjabi Bagh, Delhi","15,000"
Beauty Shades by Diya Gupta,"Punjabi Bagh, Delhi","7,000"
Makeup Magic By Nandika,"Punjabi Bagh, Delhi","12,000"
Sana Gupta Makeup,"Punjabi Bagh, Delhi","10,000"
Makeup by Priyanka R Kohli,"Punjabi Bagh, Delhi","10,000"
Lookzotica Luxurious Salon,"Punjabi Bagh, Delhi","7,000"
