Artist Name,Artist Location,Price
Pintura makeup,"Rajouri Garden, Delhi Ncr","20,000"
Mansi Midha Makeovers,"Rajouri Garden, Delhi Ncr","21,000"
Makeovers by Archana,"Rajouri Garden, Delhi Ncr","15,000"
Surbhi Mehta Makeovers,"Rajouri Garden, Delhi Ncr","15,000"
Makeup Artistry By Gurbani,"Rajouri Garden, Delhi Ncr","18,000"
Makeup By Tanjam Chawla,"Rajouri Garden, Delhi Ncr","18,000"
Sanya Madan Makeovers,"Rajouri Garden, Delhi Ncr","20,000"
Raini Sharma Makeovers,"Rajouri Garden, Delhi Ncr","20,000"
Glam Up By Navneet,"Rajouri Garden, Delhi Ncr","15,000"
Makeover By Rashmi Sah,"Rajouri Garden, Delhi Ncr","10,000"
glamngracestudio,"Rajouri Garden, Delhi Ncr","2,500"
Makeover by Shalu Kaur,"Rajouri Garden, Delhi Ncr","10,000"
The Head of Hair Salon,"Rajouri Garden, Delhi Ncr","7,000"
Schön by Swati,"Rajouri Garden, Delhi Ncr","15,000"
Makeup By Riddhima S Anand,"Rajouri Garden, Delhi Ncr","30,000"
Jasmeen Makhija MUA,"Rajouri Garden, Delhi Ncr","12,000"
Facezone by Garima,"Rajouri Garden, Delhi Ncr","15,000"
Sheetal Makeup Studio,"Rajouri Garden, Delhi Ncr","10,000"
Silky Makeovers,"Rajouri Garden, Delhi Ncr","15,000"
Eclat Makeovers by Sherry,"Rajouri Garden, Delhi Ncr","15,000"
KR Makeover,"Rajouri Garden, Delhi Ncr","10,000"
Aish & Shreya Makeovers,"Rajouri Garden, Delhi Ncr","15,000"
Aastha Bhatia Makeup,"Rajouri Garden, Delhi Ncr","15,000"
Roopali Makeup Studio,"Rajouri Garden, Delhi Ncr","10,000"
