Artist Name,Artist Location,Price
Manisha Bridal Avenue,"Tambaram, Chennai","15,000"
Crown Bridal Artistry,"Tambaram, Chennai","15,000"
Just Beauty- Malar Makeup Artist,"Tambaram, Chennai","8,000"
Makeup Artistry by Shyamala,"Tambaram, Chennai","12,000"
Sandy Makeover,"Tambaram, Chennai","7,000"
Abi Makeover Artistry,"Tambaram, Chennai","18,000"
Luxeface,"Tambaram, Chennai","15,000"
Ruby Makeovers,"Tambaram, Chennai","15,000"
New Beauty Zone,"Tambaram, Chennai","4,999"
Janu Makeup Artist,"Tambaram, Chennai","5,000"
Manju Makeup Artist,"Tambaram, Chennai","5,000"
Makeup Artistry by Krithu,"Tambaram, Chennai","10,000"
Harsha women's World,"Tambaram, Chennai","8,000"
Anvis Makeup and Beautycare,"Tambaram, Chennai","8,500"
Shree Beauty Parlour,"Tambaram, Chennai","9,000"
JP Makeup Artist,"Tambaram, Chennai","8,000"
Mirror Queen Beauty Studio,"Tambaram, Chennai","15,000"
Vimi Makeup Artistry,"Tambaram, Chennai","25,000"
Rafika Makeover,"Tambaram, Chennai","8,000"
Vino Bridal Studio,"Tambaram, Chennai","8,000"
