Artist Name,Artist Location,Price
Brindha Make Up,"Triplicane, Chennai","10,000"
Makeup by Radhika,"Triplicane, Chennai","7,000"
Parkavis Bridal Studio,"Triplicane, Chennai","10,000"
Diva Estudious,"Triplicane, Chennai","10,000"
Makeup by Nafia,"Triplicane, Chennai","7,500"
Bhairavi Makeup Artist,"Triplicane, Chennai","16,000"
Pavis Bridal Studio,"Triplicane, Chennai","13,000"
Makeover by Mamatha Mageshwaran,"Triplicane, Chennai","15,000"
Makeover by Anuradha,"Triplicane, Chennai","10,000"
Santhie Clara Mary Makeup Artist,"Triplicane, Chennai","10,000"
