Artist Name,Artist Location,Price
Makeovers by Jyoti Mittal,"Vikaspuri, Delhi","14,000"
Makeup Mystries by Pooja,"Vikaspuri, Delhi","15,000"
Deep Makeovers Studio,"Vikaspuri, Delhi","18,000"
Makeup by Pankhi Bhavnani,"Vikaspuri, Delhi","28,000"
Sonali Nangia Makeovers,"Vikaspuri, Delhi","16,000"
Babe To Bride,"Vikaspuri, Delhi","11,000"
Makeup Artistry by Sumati Arora,"Vikaspuri, Delhi","20,000"
Cosmessential,"Vikaspuri, Delhi","15,000"
Makeoverbygurjyotkaur,"Vikaspuri, Delhi","13,000"
Makeup By kajal Yadav,"Vikaspuri, Delhi","15,000"
Makeup by Aanchal Sharma,"Vikaspuri, Delhi","20,000"
Enaya Makeover,"Vikaspuri, Delhi","6,000"
Vandita Makeovers,"Vikaspuri, Delhi","15,000"
Elegance Beauty Zone,"Vikaspuri, Delhi","11,000"
Chitra Makeovers,"Vikaspuri, Delhi","2,000"
Makeup Stories by Mini,"Vikaspuri, Delhi","15,000"
Makeup By Deepti Bachani,"Vikaspuri, Delhi","15,000"
Bomb Comb by Shivani Saharan,"Vikaspuri, Delhi","10,000"
Salonrita Unisex Salon,"Vikaspuri, Delhi","3,500"
Heena Makeover The Beauty Studio,"Vikaspuri, Delhi","18,000"
Srishty Kapoor Makeup Artist,"Vikaspuri, Delhi","10,000"
Jasmine Kaur Mua,"Vikaspuri, Delhi","20,000"
Makeup And Style By Varshu,"Vikaspuri, Delhi","10,000"
