Artist Name,Artist Location,Price
The Whimsical Brushe By Bhavana,"Virugambakkam, Chennai","15,000"
Divine Bridal Studio,"Virugambakkam, Chennai","10,000"
Blush and Groom Beauty Lounge,"Virugambakkam, Chennai","7,000"
La Trend Makeup Studio,"Virugambakkam, Chennai","25,000"
Karthik Makeup Artist,"Virugambakkam, Chennai","20,000"
Divine Bridal Studio,"Virugambakkam, Chennai","10,000"
My Care Makeovers,"Virugambakkam, Chennai","7,500"
Yashu Makeover,"Virugambakkam, Chennai","15,000"
Shajiv Creators,"Virugambakkam, Chennai","15,000"
Lavender Fairy Bridal Makeup,"Virugambakkam, Chennai","8,000"
