Photographer Name,Photographer Location,Price
Cloudart Photography,"Electronic City, Bangalore","40,000"
Wedartistry,"Electronic City, Bangalore","50,000"
Shutter Pride Photography,"Electronic City, Bangalore","1,10,000"
Jishnu Biji,"Electronic City, Bangalore","20,000"
RK Digital Studio and Colour Lab,"Electronic City, Bangalore","8,000"
Memoire by Sathish Jayabalan,"Electronic City, Bangalore","35,000"
Gaurav Candid Photography,"Electronic City, Bangalore","45,000"
Gaurav Candid Photography,"Electronic City, Bangalore","70,000"
Kava Photography,"Electronic City, Bangalore",On Request
,"Electronic City, Bangalore","27,000"
