Venue Name,Venue Location,Price per Plate
Rosewood International Hotel,"Alanahalli, Mysore",618 - 767
Hotel Komfort Suites,"Alanahalli, Mysore",250 - 350
Kings L Den Resort Hall,"Alanahalli, Mysore",400 - 600
Doctors Community Hall,"Alanahalli, Mysore",750 - 850
Shree Anjanadri Community Hall,"Alanahalli, Mysore",950 - 1200
Dashami Garden,"Alanahalli, Mysore","30,000"
Hotel Mysore Palace,"Alanahalli, Mysore",300 - 300
Ambari Convention Hall,"Alanahalli, Mysore",850 - 850
Sri Krishna Convention Hall,"Alanahalli, Mysore","27,018"
Janani Janmabhoomi Sabha Bhavana,"Alanahalli, Mysore","40,018"
Chamundeshwari Convention Hall,"Alanahalli, Mysore","19,000"
Campinground Wedding Garden,"Alanahalli, Mysore","75,000"
Carisbrook Wedding Lawn,"Alanahalli, Mysore","20,000"
Govinda Rao Memorial Hall,"Alanahalli, Mysore","60,000"
Royal Sultan Palace,"Alanahalli, Mysore","40,000"
Samasth Kalyana Mantapa,"Alanahalli, Mysore","1,62,000"
Vishal Mini Functional Hall,"Alanahalli, Mysore","25,000"
Galaxy Convention Hall,"Alanahalli, Mysore","3,25,000"
