Venue Name,Venue Location,Price per Plate
Carnival Pearl Grand,"Alipur, Delhi","1,500"
Tivoli Grand Resort Emerald Greens,"Alipur, Delhi",1805 - 2005
D Maple Garden,"Alipur, Delhi",1700 - 2100
RG S House,"Alipur, Delhi",1200 - 1400
Asha Farm Lawn,"Alipur, Delhi",1200 - 1500
MH One Resort Hotel Ananta,"Alipur, Delhi",3500 - 4000
Golden Ring Motel and Resorts,"Alipur, Delhi",500 - 600
Shubh Bandhan Marriage Palace,"Alipur, Delhi",600 - 750
Karan Garden,"Alipur, Delhi",600
Bansal Sewa Sadan,"Alipur, Delhi",350 - 450
Park Meadows,"Alipur, Delhi",1200 - 1350
National Farm,"Alipur, Delhi",1800 - 2200
Zafferano Suryadev Motel Resorts,"Alipur, Delhi",1200 - 1400
The Maple Gardens,"Alipur, Delhi","1,300"
The Moments,"Alipur, Delhi",700 - 900
Sisodia Vatika,"Alipur, Delhi",800 - 900
Bageecha Banquet,"Alipur, Delhi","3,50,000"
Yadu greens,"Alipur, Delhi",600 - 600
Nandanvan Farm Lawn,"Alipur, Delhi","7,67,000"
EDEN Garden,"Alipur, Delhi","3,00,000"
Carnival Resort,"Alipur, Delhi","1,50,000"
