Venue Name,Venue Location,Price per Plate
Ajivasan Hall 1,"Andheri West, Mumbai",650 - 650
Vyanjan Banquet,"Andheri West, Mumbai",770
Zarc Banquet Hall,"Andheri West, Mumbai",718 - 918
White Charcoal Banquet,"Andheri West, Mumbai",1600 - 2400
Platinum Banquet,"Andheri West, Mumbai",800 - 900
Garden Court Gardenia Banquet Hall,"Andheri West, Mumbai",700 - 800
Madni Baug Marriage Lawn 1,"Andheri West, Mumbai",700 - 850
Picasso Family Restaurant Hall 1,"Andheri West, Mumbai",650 - 800
The Classique Club Hall 1,"Andheri West, Mumbai",1100 - 1200
Sin City Rooftop Banquet Hall,"Andheri West, Mumbai",1250 - 1250
Om sai caterers,"Andheri West, Mumbai",818
Levo Restaurant Mini Hall,"Andheri West, Mumbai",650 - 750
Ritambhara Banquet Hall,"Andheri West, Mumbai",700 - 850
Ground Andheri MVM Banquet 1,"Andheri West, Mumbai",300 - 300
GMS Banquet Hall,"Andheri West, Mumbai",400 - 500
Rajiv Gandhi Banquet Iris Hall Hall 1,"Andheri West, Mumbai",800 - 900
The Elite banquet,"Andheri West, Mumbai",900 - 1100
Hotel Karl Residency,"Andheri West, Mumbai",900 - 1300
Doolally Taproom Andheri,"Andheri West, Mumbai",350 - 450
Fun Republic Social Hall,"Andheri West, Mumbai",1000 - 1200
"Sirocco, Andheri West","Andheri West, Mumbai","1,150"
Brewbot Eatery & Pub Brewery,"Andheri West, Mumbai",700 - 900
Rajiv Gandhi Banquet Hall,"Andheri West, Mumbai",400
Mogra Banquet By D Lakhani Hospitality,"Andheri West, Mumbai",900 - 1000
