Venue Name,Venue Location,Price per Plate
Hotel Asliyya Grande Elite Banquet hall,"Attingal, Thiruvananthapuram",472 - 531
Hotel Savithri,"Attingal, Thiruvananthapuram",253 - 560
kanimangalam Open Space,"Attingal, Thiruvananthapuram","76,700"
Kumari gardens main hall,"Attingal, Thiruvananthapuram","18,000"
Dilash Wedding Events Centre Hall,"Attingal, Thiruvananthapuram","25,000"
M S R Auditorium,"Attingal, Thiruvananthapuram","50,000"
Innu Kalyanamandapam,"Attingal, Thiruvananthapuram",On Request
Sav conference hall,"Attingal, Thiruvananthapuram","22,000"
Mass Auditorium,"Attingal, Thiruvananthapuram","45,000"
Sun Auditorium,"Attingal, Thiruvananthapuram","45,000"
Dwaraka Auditorium,"Attingal, Thiruvananthapuram","35,000"
Revathy Auditorium,"Attingal, Thiruvananthapuram","60,000"
A K Palace Auditorium,"Attingal, Thiruvananthapuram","30,000"
Pooja Convention Centre,"Attingal, Thiruvananthapuram","1,30,000"
