Venue Name,Venue Location,Price per Plate
Maple Leaf,"Ballygunge, Kolkata",800 - 1000
The Villa at Mandeville Hall,"Ballygunge, Kolkata",1250 - 1500
Hotel Hindusthan International,"Ballygunge, Kolkata",1418 - 1818
Neel Mahal,"Ballygunge, Kolkata",550 - 650
Khanika Marriage Hall,"Ballygunge, Kolkata",500 - 600
Mirch Masala,"Ballygunge, Kolkata",700 - 850
Mahadevi Birla Kalyan Mandapam,"Ballygunge, Kolkata",650 - 750
Anand Niketan Marriage Hall,"Ballygunge, Kolkata",300 - 400
Satarupa Marriage Hall,"Ballygunge, Kolkata",400 - 500
PearlTree Hotels Resorts,"Ballygunge, Kolkata",850 - 950
Sarada Bhaban Hall,"Ballygunge, Kolkata",800 - 1001
Unique Banquet,"Ballygunge, Kolkata",800 - 900
Hotel Swagath,"Ballygunge, Kolkata",800 - 1000
Kalyani Bhavan Banquet Hall,"Ballygunge, Kolkata",500 - 600
R C Banquet and Guest House,"Ballygunge, Kolkata",1000 - 1200
Barsana Club,"Ballygunge, Kolkata",800 - 1000
Kalatan Community Hall,"Ballygunge, Kolkata",600 - 700
Utsav Hall,"Ballygunge, Kolkata",600 - 700
Atindra Adharv Banquet,"Ballygunge, Kolkata",800 - 1000
Subham Marriage Hall A.C.,"Ballygunge, Kolkata",500 - 600
Rajnandini Hotel,"Ballygunge, Kolkata",500 - 600
Milan Smriti Marraige Hall,"Ballygunge, Kolkata",800 - 900
Swapno Manjil,"Ballygunge, Kolkata",1000 - 1200
Aangan Banquets,"Ballygunge, Kolkata",800 - 1000
