Venue Name,Venue Location,Price per Plate
Mauli Garden- Wedding Venue in Baner,"Baner, Pune",600 - 800
BUNTARA BHAVANA HALL,"Baner, Pune",1
Buntara Bhavana Banquet Hall,"Baner, Pune",900
Emerald party & Marriage Hall,"Baner, Pune",850
"Buntara Bhavana,Pune","Baner, Pune",900 - 1250
Serenity By Monarch,"Baner, Pune",850 - 950
Saafa Banquets,"Baner, Pune",650 - 750
Govinanda Banquet Hall,"Baner, Pune",750 - 850
Gravity Inn,"Baner, Pune",750 - 800
WOW Stops Venus,"Baner, Pune",750 - 850
Vidyanchal Party hall,"Baner, Pune",850
Emerald Party And Marriage Hall,"Baner, Pune",305 - 355
Kundan Garden Mangal Karyalay Lawn,"Baner, Pune","1,50,000"
Occasions Lawns,"Baner, Pune","40,018"
