Venue Name,Venue Location,Price per Plate
Rotighar Prince Party Hall,"Basavanagudi, Bangalore",350
Kamat Hotel Hall,"Basavanagudi, Bangalore","35,000"
NR Colony Rama Mandira Hall,"Basavanagudi, Bangalore",450
Grand Village Banquet Hall,"Basavanagudi, Bangalore",500
Akshaya Hall,"Basavanagudi, Bangalore",350
Sri Gurunarasimha Kalyana Mantapa,"Basavanagudi, Bangalore",850
B N S Party Hall,"Basavanagudi, Bangalore",367
Mantra Party Hall,"Basavanagudi, Bangalore",288
Lalbagh Grand Party Hall,"Basavanagudi, Bangalore",413
Palace Party Hall,"Basavanagudi, Bangalore",360
Timepass Party Hall,"Basavanagudi, Bangalore",368 - 468
Hotel New Atithya Hall,"Basavanagudi, Bangalore",450 - 550
Sai Shubh Convention Centre,"Basavanagudi, Bangalore",500 - 600
Sai Party Hall,"Basavanagudi, Bangalore",750 - 900
Pai Vista Convention Hall,"Basavanagudi, Bangalore",475
Krishna Vadiraja Mandira,"Basavanagudi, Bangalore",178
Gokul Veg Party Hall,"Basavanagudi, Bangalore",238
timepass banquet Mini Hall,"Basavanagudi, Bangalore",450
Ngs Palace,"Basavanagudi, Bangalore","1,00,000"
Gokul Veg Hall,"Basavanagudi, Bangalore","27,000"
Shri Narayana Guru Auditorium Hall,"Basavanagudi, Bangalore",350 - 450
Sri Radhakrishna Hall,"Basavanagudi, Bangalore",500
Sri Abhinava Vidya Vihara Hall,"Basavanagudi, Bangalore",350
Sree Sambhavnath Jain Bhawan Hall,"Basavanagudi, Bangalore",400
