Venue Name,Venue Location,Price per Plate
Anmol Nalanda Banquet Hall,"Bhandup West, Mumbai","80,000"
Anantha Hotel,"Bhandup West, Mumbai",700 - 800
Haarmony Banquet Hall,"Bhandup West, Mumbai",400
Bhagwati Banquet,"Bhandup West, Mumbai",500 - 700
Mewad Kesari Bhawan,"Bhandup West, Mumbai",600
Gopalas Banquet Hall,"Bhandup West, Mumbai",699
"Anantha Executive Suites,Mumbai","Bhandup West, Mumbai",650 - 750
Dreams Banquet Hall 1,"Bhandup West, Mumbai",600
Trimurti caterer,"Bhandup West, Mumbai",460 - 668
Royal Celebration Banquet Hall,"Bhandup West, Mumbai","1,200"
Royal Celebrations Banquets,"Bhandup West, Mumbai",650
Devam Banquet Hall,"Bhandup West, Mumbai",450
MMMAKS SHREE SRUSHTI,"Bhandup West, Mumbai",550 - 750
Jagannath Banquet Hall,"Bhandup West, Mumbai","50,000"
"Prasad Food Divine, Banquet Hall","Bhandup West, Mumbai","15,000"
"Haarmony Banquet Hall, Bhandup West","Bhandup West, Mumbai","50,000"
Mewad Kesari Bhawan Hall,"Bhandup West, Mumbai","70,000"
Ved Banquets,"Bhandup West, Mumbai","1,00,000"
