Venue Name,Venue Location,Price per Plate
Bhavani Island Resort,"Bhavanipuram, Vijayawada",568 - 668
Olive Tree Hotel - The Vilaasa,"Bhavanipuram, Vijayawada",400 - 600
Balatripura Sundari Conventions Open Hall,"Bhavanipuram, Vijayawada","30,000"
R R Durbar Banquet Hall,"Bhavanipuram, Vijayawada",350 - 550
Babburi Ground,"Bhavanipuram, Vijayawada",800
Haritha Berm Park Lawn,"Bhavanipuram, Vijayawada",568 - 768
Casserole Multi Cuisine Family Restaurant Veduka Banquet Hall,"Bhavanipuram, Vijayawada",350 - 600
Srirasthu kalyana vedika,"Bhavanipuram, Vijayawada","60,000"
Samskruti Function Hall,"Bhavanipuram, Vijayawada","1,00,000"
Shubamasthu Kalyana Vedika,"Bhavanipuram, Vijayawada","80,000"
AGM Function Hall,"Bhavanipuram, Vijayawada","45,000"
Vasavi Kalyana Mandapam,"Bhavanipuram, Vijayawada","80,000"
Kondaveedu Academy Kalyana Mandapam,"Bhavanipuram, Vijayawada","50,000"
Shakthi Grand,"Bhavanipuram, Vijayawada","18,000"
Babburi Gardens Function Lawn,"Bhavanipuram, Vijayawada","1,00,000"
Sitara Convention Hall,"Bhavanipuram, Vijayawada","1,40,000"
S Convention Hall,"Bhavanipuram, Vijayawada","2,20,000"
MK Function Hall,"Bhavanipuram, Vijayawada","40,000"
