Venue Name,Venue Location,Price per Plate
The Silverador Resort and Club Banquet Hall 1,"Bhayandar West, Mumbai",600 - 700
Kajal Mairrage Ground,"Bhayandar West, Mumbai",600 - 700
Level Resort Banquet Hall,"Bhayandar West, Mumbai",8100 - 1890
Star Wood Resort Lawn,"Bhayandar West, Mumbai",524 - 630
Zaika Orchids Banquets,"Bhayandar West, Mumbai",500 - 650
La shimmer Resort,"Bhayandar West, Mumbai",578 - 628
Radha Krishna Banquet Hall,"Bhayandar West, Mumbai",850
Sadanand Veg Treat & Banquet Hall,"Bhayandar West, Mumbai",600
Raang Resham,"Bhayandar West, Mumbai",500
Venkatesh Banquet,"Bhayandar West, Mumbai",750
Kapolwadi Sudama Hall,"Bhayandar West, Mumbai",450
Kapolwadi Sudama Hall,"Bhayandar West, Mumbai",400
Shree Balaji Banquet Hall,"Bhayandar West, Mumbai",900
Crest Plot Open lawn,"Bhayandar West, Mumbai","1,50,002"
Rang Resham Banquet Hall,"Bhayandar West, Mumbai","35,000"
