Venue Name,Venue Location,Price per Plate
Spicy Banquet Hall,"Boduppal, Hyderabad",350 - 450
Simba Banquet Hall,"Boduppal, Hyderabad",280 - 350
Devi Padmasree Convention Hall 1,"Boduppal, Hyderabad",450 - 550
Vijaya AC Banquet Hall,"Boduppal, Hyderabad",400 - 550
PMG Grand Banquet Halls,"Boduppal, Hyderabad",450 - 550
R Convention Banquet Hall,"Boduppal, Hyderabad",350 - 450
Bommak Shankaraiah Convention Hall,"Boduppal, Hyderabad","2,18,800"
Devi Ac Convention Hall,"Boduppal, Hyderabad",600 - 700
Sri Siddivinayaka ABR Function Hall,"Boduppal, Hyderabad","60,000"
SSS Gardens,"Boduppal, Hyderabad","1,20,000"
Sri Thirumala And Padmavathi Gardens Hall,"Boduppal, Hyderabad","1,10,000"
Bommak Gangaiah Gardens,"Boduppal, Hyderabad","5,00,000"
Keshav Gardens,"Boduppal, Hyderabad","1,40,000"
Maa Gardens,"Boduppal, Hyderabad","50,000"
Bommak Sri Bala Paramesh Function Hall,"Boduppal, Hyderabad","50,000"
Sv Banquet Hall,"Boduppal, Hyderabad","35,000"
Pisati Anji Reddy Gardens,"Boduppal, Hyderabad","1,00,000"
Bommak VVS Convention Hall,"Boduppal, Hyderabad","2,50,000"
